Gene	Chr	Start	End
NEDD9	6	11183298	11382348
TMEM170B	6	11538278	11583524
ADTRP	6	11712054	11807046
HIVEP1	6	12008762	12164999
EDN1	6	12290363	12297194
PHACTR1	6	12716805	13290484
TBC1D7	6	13266542	13328583
GFOD1	6	13357830	13487662
SIRT5	6	13574529	13615158
NOL7	6	13615327	13632739
RANBP9	6	13621498	13711564
MCUR1	6	13786557	13814568
RNF182	6	13924446	13980302
CD83	6	14117256	14136918
JARID2	6	15246296	15522040
DTNBP1	6	15522801	15663058
MYLIP	6	16129125	16148248
GMPR	6	16238580	16295549
ATXN1	6	16299112	16761491
STMND1	6	17102258	17131372
RBM24	6	17281346	17293875
CAP2	6	17393216	17557792
FAM8A1	6	17600355	17611719
NUP153	6	17615035	17706834
KIF13A	6	17759183	17987623
NHLRC1	6	18121419	18122606
TPMT	6	18128311	18155074
KDM1B	6	18155329	18223853
DEK	6	18223868	18264823
RNF144B	6	18387350	18468874
ID4	6	19837386	19840684
MBOAT1	6	20102145	20212399
E2F3	6	20401906	20493715
CDKAL1	6	20534457	21232404
SOX4	6	21592769	21598619
PRL	6	22287244	22297501
HDGFL1	6	22569493	22571666
NRSN1	6	24126122	24154900
DCDC2	6	24171756	24358052
KAAG1	6	24356903	24358284
MRS2	6	24402908	24426194
GPLD1	6	24424565	24495205
ALDH5A1	6	24494852	24537207
KIAA0319	6	24544104	24646155
TDP2	6	24649977	24667033
ACOT13	6	24667035	24705065
C6orf62	6	24704861	24720836
GMNN	6	24774931	24786099
C6orf229	6	24797321	24798889
RP3-369A17.6	6	24797373	24809798
FAM65B	6	24804282	25042168
LRRC16A	6	25279078	25620530
SCGN	6	25652201	25701783
HIST1H2AA	6	25726132	25726527
HIST1H2BA	6	25726909	25727292
SLC17A4	6	25754699	25781191
SLC17A1	6	25782897	25832059
SLC17A3	6	25833066	25882286
SLC17A2	6	25912754	25930726
TRIM38	6	25962802	25991226
HIST1H1A	6	26017085	26017732
HIST1H3A	6	26020490	26020900
HIST1H4A	6	26021679	26021990
HIST1H4B	6	26026815	26027252
HIST1H3B	6	26031650	26032060
HIST1H2AB	6	26033176	26033568
HIST1H2BB	6	26043227	26123904
HIST1H3C	6	26045411	26045821
HIST1H1C	6	26055787	26056428
HFE	6	26087281	26098343
HIST1H4C	6	26103876	26104310
HIST1H1T	6	26107419	26108136
HIST1H2BC	6	26114873	26123926
HIST1H2AC	6	26124145	26139116
HIST1H1E	6	26156354	26157107
HIST1H2BD	6	26158146	26171349
HIST1H2BE	6	26172059	26184655
HIST1H4D	6	26188765	26189076
RP1-34B20.21	6	26195595	26199293
HIST1H3D	6	26196840	26197250
HIST1H2AD	6	26198851	26199243
HIST1H2BF	6	26199520	26200715
HIST1H4E	6	26204552	26206038
HIST1H2BG	6	26215159	26216692
HIST1H2AE	6	26216975	26217483
HIST1H3E	6	26224199	26227473
HIST1H1D	6	26234268	26234933
HIST1H4F	6	26240426	26240737
HIST1H4G	6	26246681	26246977
HIST1H3F	6	26250195	26250605
HIST1H2BH	6	26251651	26253710
HIST1H3G	6	26269405	26271815
HIST1H2BI	6	26272976	26273356
HIST1H4H	6	26277609	26285638
BTN3A2	6	26365159	26378320
BTN2A2	6	26383096	26394874
BTN3A1	6	26402237	26415216
BTN3A3	6	26440472	26453415
BTN2A1	6	26457904	26476621
BTN1A1	6	26501221	26510422
HMGN4	6	26538405	26546254
ABT1	6	26596952	26600744
ZNF322	6	26634383	26659752
HIST1H2BJ	6	27125897	27132750
HIST1H2AG	6	27133042	27135291
HIST1H4I	6	27138588	27139881
HIST1H2BK	6	27146418	27146798
HIST1H2AH	6	27147129	27147515
PRSS16	6	27247701	27256624
POM121L2	6	27285903	27312170
ZNF391	6	27374615	27403904
ZNF184	6	27450743	27473118
HIST1H2BL	6	27807444	27807931
HIST1H2AI	6	27808199	27808701
HIST1H3H	6	27810064	27811300
HIST1H2AJ	6	27814354	27814740
HIST1H2BM	6	27815044	27815424
HIST1H4J	6	27824108	27824480
HIST1H4K	6	27831216	27831527
HIST1H2BN	6	27837760	27865798
HIST1H2AK	6	27837947	27838339
HIST1H2AL	6	27865355	27865747
HIST1H1B	6	27866849	27867529
HIST1H3I	6	27871905	27872315
HIST1H4L	6	27873199	27873510
HIST1H3J	6	27890382	27893106
HIST1H2AM	6	27892757	27893149
HIST1H2BO	6	27893463	27893843
OR2B2	6	27911185	27912396
OR2B6	6	27957241	27958182
ZNF165	6	28080975	28089563
ZSCAN16	6	28124560	28130082
ZKSCAN8	6	28141910	28159472
ZSCAN9	6	28224886	28233482
ZKSCAN4	6	28244623	28252224
NKAPL	6	28259320	28260958
ZSCAN26	6	28267010	28278224
RP5-874C20.8	6	28267121	28281580
PGBD1	6	28281572	28302549
ZSCAN31	6	28324693	28356271
ZKSCAN3	6	28349914	28369177
ZSCAN12	6	28378955	28399734
ZSCAN23	6	28431930	28443502
GPX6	6	28503296	28528215
GPX5	6	28525925	28534952
ZBED9	6	28571630	28616212
TRIM27	6	28903002	28923989
ZNF311	6	28994785	29005316
OR2W1	6	29044213	29045240
OR2B3	6	29086307	29087313
OR2J3	6	29111891	29112826
OR2J2	6	29173303	29174574
OR14J1	6	29306690	29307655
OR5V1	6	29355230	29431967
OR12D3	6	29373423	29375291
OR12D2	6	29396700	29397623
OR11A1	6	29425504	29457071
OR10C1	6	29440016	29440954
OR2H1	6	29457181	29464328
MAS1L	6	29486697	29487956
UBD	6	29555515	29559925
GABBR1	6	29555629	29633976
OR2H2	6	29587455	29589038
MOG	6	29656981	29672372
ZFP57	6	29672392	29681110
HLA-F	6	29722775	29738528
HLA-G	6	29826967	29831125
HLA-A	6	29941260	29945884
ZNRD1	6	30058899	30064909
PPP1R11	6	30066709	30070333
RNF39	6	30070266	30075887
TRIM31	6	30102897	30113106
TRIM40	6	30136108	30148735
TRIM10	6	30151945	30160934
TRIM15	6	30163206	30172696
TRIM26	6	30184455	30213427
TRIM39	6	30326479	30343729
TRIM39-RPP21	6	30328907	30346854
RPP21	6	30345131	30346884
HLA-E	6	30489467	30494205
GNL1	6	30541377	30557174
PRR3	6	30556886	30563723
ABCF1	6	30571376	30597179
PPP1R10	6	30600400	30618612
MRPS18B	6	30617709	30626395
ATAT1	6	30626842	30646823
C6orf136	6	30647039	30653210
DHX16	6	30653119	30673037
PPP1R18	6	30676389	30687895
NRM	6	30688047	30691420
MDC1	6	30699807	30717889
TUBB	6	30720201	30725426
FLOT1	6	30727709	30742733
IER3	6	30743199	30744554
DDR1	6	30876421	30900156
GTF2H4	6	30908184	30914106
VARS2	6	30908242	30926459
SFTA2	6	30931353	30955636
DPCR1	6	30940972	30954221
MUC21	6	30983718	30989903
MUC22	6	31010474	31035402
C6orf15	6	31111223	31112559
PSORS1C1	6	31114750	31140092
CDSN	6	31115090	31120446
PSORS1C2	6	31137536	31139350
CCHCR1	6	31142439	31158238
TCF19	6	31158542	31167159
POU5F1	6	31164337	31180731
HCG27	6	31197760	31203968
HLA-C	6	31268749	31272130
HLA-B	6	31353872	31357188
MICA	6	31399784	31415315
MICB	6	31494881	31511124
MCCD1	6	31528717	31530232
ATP6V1G2-DDX39B	6	31530219	31546608
DDX39B	6	31530219	31542448
ATP6V1G2	6	31544462	31548427
NFKBIL1	6	31546870	31558829
LTA	6	31572054	31574324
TNF	6	31575567	31578336
LTB	6	31580525	31582522
LST1	6	31586124	31588909
NCR3	6	31588895	31592985
AIF1	6	31615184	31617021
PRRC2A	6	31620720	31637771
BAG6	6	31639028	31652705
APOM	6	31652416	31658210
C6orf47	6	31658298	31660772
GPANK1	6	31661229	31666283
CSNK2B	6	31665236	31670343
XXbac-BPG32J3.22	6	31666102	31673546
LY6G5B	6	31670167	31673776
LY6G5C	6	31676684	31684040
ABHD16A	6	31686949	31703444
XXbac-BPG32J3.20	6	31686962	31714072
LY6G6F	6	31706885	31710595
XXbac-BPG32J3.19	6	31706904	31717918
LY6G6E	6	31711771	31714065
LY6G6D	6	31715356	31717804
C6orf25	6	31718594	31726714
LY6G6C	6	31718648	31721845
DDAH2	6	31727038	31730617
CLIC1	6	31730581	31739763
MSH5	6	31739948	31762834
MSH5-SAPCD1	6	31740020	31764851
SAPCD1	6	31762799	31764851
VWA7	6	31765590	31777294
VARS	6	31777518	31795953
LSM2	6	31797396	31806984
HSPA1L	6	31809619	31815065
HSPA1A	6	31815464	31817946
HSPA1B	6	31827735	31830255
C6orf48	6	31834608	31839766
NEU1	6	31857659	31862906
SLC44A4	6	31863192	31879046
EHMT2	6	31879759	31897687
C2	6	31897785	31945672
ZBTB12	6	31899607	31901992
XXbac-BPG116M5.17	6	31927698	31952048
CFB	6	31945650	31952084
NELFE	6	31952087	31959110
SKIV2L	6	31959080	31969755
DXO	6	31969810	31972292
STK19	6	31971091	31982821
C4A	6	31982024	32002681
AL645922.1	6	32006168	32007104
C4B	6	32014762	32035418
CYP21A2	6	32038265	32041670
TNXB	6	32041154	32115334
ATF6B	6	32098176	32128253
FKBPL	6	32128707	32130291
PRRT1	6	32148359	32154373
PPT2	6	32153441	32163680
PPT2-EGFL8	6	32153845	32171978
EGFL8	6	32164583	32168281
AGPAT1	6	32168212	32178096
RNF5	6	32178354	32180793
AGER	6	32180968	32184324
PBX2	6	32184741	32190186
GPSM3	6	32190766	32195523
NOTCH4	6	32194843	32224067
C6orf10	6	32288526	32371912
BTNL2	6	32393963	32407128
HLA-DRA	6	32439842	32445046
HLA-DRB5	6	32517343	32530287
HLA-DRB1	6	32552990	32589848
HLA-DQA1	6	32628179	32647062
HLA-DQB1	6	32659467	32668383
HLA-DQA2	6	32741342	32747215
HLA-DQB2	6	32756098	32763534
HLA-DOB	6	32812763	32817048
XXbac-BPG246D15.9	6	32813767	32838822
TAP2	6	32821833	32838780
PSMB8	6	32840717	32844703
PSMB9	6	32844136	32859585
TAP1	6	32845209	32853978
HLA-DMB	6	32934629	32941070
XXbac-BPG181M17.5	6	32937364	32953122
HLA-DMA	6	32948613	32969094
BRD2	6	32968660	32981505
HLA-DOA	6	33004178	33009612
HLA-DPA1	6	33064569	33080775
HLA-DPB1	6	33075926	33087201
COL11A2	6	33162681	33192499
RXRB	6	33193588	33200688
SLC39A7	6	33200445	33204439
HSD17B8	6	33204642	33206831
RING1	6	33208495	33212722
VPS52	6	33250272	33272047
RPS18	6	33272010	33276510
B3GALT4	6	33277132	33284832
WDR46	6	33279108	33289527
PFDN6	6	33289302	33298401
RGL2	6	33291654	33299324
TAPBP	6	33299694	33314387
ZBTB22	6	33314406	33317942
DAXX	6	33318558	33329269
KIFC1	6	33391536	33409924
PHF1	6	33410399	33416453
CUTA	6	33416442	33418317
SYNGAP1	6	33420070	33457541
ZBTB9	6	33453970	33457548
BAK1	6	33572547	33580293
ITPR3	6	33620365	33696574
UQCC2	6	33694293	33711727
IP6K3	6	33721670	33746905
LEMD2	6	33771202	33789136
MLN	6	33794673	33804011
GRM4	6	34018645	34155622
HMGA1	6	34236873	34246231
C6orf1	6	34246380	34249470
NUDT3	6	34279679	34392674
RPS10-NUDT3	6	34288770	34426048
RPS10	6	34417454	34426125
PACSIN1	6	34466061	34535231
SPDEF	6	34537802	34556333
C6orf106	6	34587288	34696859
SNRPC	6	34757406	34773794
UHRF1BP1	6	34792015	34883138
TAF11	6	34877778	34888089
ANKS1A	6	34889265	35091413
TCP11	6	35118071	35148610
SCUBE3	6	35214419	35253079
ZNF76	6	35258909	35295985
DEF6	6	35297852	35321771
PPARD	6	35342558	35428191
FANCE	6	35452361	35467103
RPL10A	6	35468408	35470785
TEAD3	6	35473597	35497076
TULP1	6	35497874	35512938
FKBP5	6	35573585	35728583
ARMC12	6	35737032	35749079
CLPSL2	6	35776594	35779552
CLPSL1	6	35781017	35793675
CLPS	6	35794982	35797344
LHFPL5	6	35805293	35833874
SRPK1	6	35832966	35921342
SLC26A8	6	35943514	36024868
MAPK14	6	36027677	36111236
MAPK13	6	36127809	36144524
BRPF3	6	36196744	36232790
PNPLA1	6	36243203	36308595
C6orf222	6	36315757	36336885
ETV7	6	36354091	36387800
PXT1	6	36390551	36442889
KCTD20	6	36442767	36491143
STK38	6	36493892	36547470
SRSF3	6	36594353	36605600
CDKN1A	6	36676460	36687339
RAB44	6	36697851	36733183
CPNE5	6	36740775	36840002
PPIL1	6	36854827	36875024
C6orf89	6	36871870	36928964
PI16	6	36948263	36964837
MTCH1	6	36968141	36986298
FGD2	6	37005646	37029070
PIM1	6	37170203	37175426
TMEM217	6	37212180	37258155
TBC1D22B	6	37257772	37332970
RNF8	6	37353972	37394738
CMTR1	6	37433219	37482827
CCDC167	6	37482920	37499922
MDGA1	6	37630679	37699306
ZFAND3	6	37819499	38154624
BTBD9	6	38168451	38640148
GLO1	6	38675925	38703141
DNAH8	6	38715341	39030529
GLP1R	6	39048798	39087743
SAYSD1	6	39104064	39115189
KCNK5	6	39188973	39229450
KCNK17	6	39299001	39314553
KCNK16	6	39314698	39322968
KIF6	6	39329990	39725405
DAAM2	6	39792298	39904877
MOCS1	6	39899578	39934551
LRFN2	6	40391586	40587465
UNC5CL	6	41026911	41039217
OARD1	6	41033627	41097787
TSPO2	6	41042554	41044337
APOBEC2	6	41053304	41064511
NFYA	6	41072945	41099976
TREML1	6	41149342	41154337
TREM2	6	41158506	41163186
TREML2	6	41190277	41201194
TREML4	6	41228324	41238882
TREM1	6	41267926	41286719
NCR2	6	41335655	41350887
FOXP4	6	41546426	41602384
MDFI	6	41636882	41654246
TFEB	6	41683978	41736259
PGC	6	41736711	41754109
FRS3	6	41770176	41786542
PRICKLE4	6	41780349	41790141
TOMM6	6	41787662	41789898
USP49	6	41789896	41895361
MED20	6	41905354	41921139
BYSL	6	41921188	41933046
CCND3	6	41934933	42050357
TAF8	6	42050513	42087461
C6orf132	6	42101118	42142619
GUCA1A	6	42155406	42180056
RP1-139D8.6	6	42155426	42163439
GUCA1B	6	42184401	42194916
MRPS10	6	42206801	42217865
TRERF1	6	42224931	42452051
UBR2	6	42564062	42693504
PRPH2	6	42696600	42722574
TBCC	6	42744481	42746096
GLTSCR1L	6	42746958	42868560
RPL7L1	6	42879618	42889925
C6orf226	6	42890265	42890816
PTCRA	6	42915989	42925835
CNPY3	6	42929192	42939287
GNMT	6	42960758	42963880
PEX6	6	42963870	42979220
PPP2R5D	6	42984499	43012342
MEA1	6	43012094	43013968
KLHDC3	6	43014103	43021298
RRP36	6	43021645	43034156
CUL7	6	43037617	43053945
KLC4	6	43040777	43075099
MRPL2	6	43054029	43059806
PTK7	6	43076268	43161719
SRF	6	43171299	43181507
CUL9	6	43182175	43224587
DNPH1	6	43225629	43229484
TTBK1	6	43243680	43288259
SLC22A7	6	43295694	43305538
CRIP3	6	43299710	43308797
ZNF318	6	43307134	43369478
ABCC10	6	43427366	43450430
DLK2	6	43450352	43456632
TJAP1	6	43477523	43506556
LRRC73	6	43506969	43510686
POLR1C	6	43509702	43529585
YIPF3	6	43511827	43516990
XPO5	6	43522330	43576075
POLH	6	43576150	43615660
GTPBP2	6	43605316	43629162
MAD2L1BP	6	43629540	43640952
RSPH9	6	43645046	43672599
MRPS18A	6	43671303	43687791
VEGFA	6	43770184	43786487
C6orf223	6	44000580	44005958
MRPL14	6	44113454	44127457
TMEM63B	6	44126914	44155519
CAPN11	6	44158811	44184402
SLC29A1	6	44219505	44234151
HSP90AB1	6	44246166	44253888
SLC35B2	6	44254096	44257890
NFKBIE	6	44258166	44265788
TMEM151B	6	44270466	44307506
RP11-444E17.6	6	44273194	44378957
TCTE1	6	44278743	44297688
AARS2	6	44299654	44313326
SPATS1	6	44342660	44377167
CDC5L	6	44387525	44450426
SUPT3H	6	44809317	45377953
RUNX2	6	45328157	45664349
CLIC5	6	45898451	46080395
ENPP4	6	46129993	46146699
ENPP5	6	46159187	46170971
RCAN2	6	46220736	46491972
CYP39A1	6	46549580	46652830
SLC25A27	6	46652915	46678193
TDRD6	6	46687875	46704319
PLA2G7	6	46704201	46735693
ANKRD66	6	46746917	46759506
MEP1A	6	46793390	46839782
ADGRF5	6	46852512	46954943
ADGRF1	6	46997703	47042363
TNFRSF21	6	47231532	47309905
CD2AP	6	47477789	47627263
ADGRF2	6	47656436	47697797
ADGRF4	6	47685864	47722021
OPN5	6	47781982	47832780
PTCHD4	6	47878028	48068689
MUT	6	49430360	49463191
CENPQ	6	49463378	49493107
GLYATL3	6	49499958	49527047
C6orf141	6	49550646	49561907
RHAG	6	49605158	49636839
CRISP2	6	49692358	49713590
CRISP3	6	49727384	49744437
PGK2	6	49785651	49787307
CRISP1	6	49834257	49877096
DEFB133	6	49946101	49949444
DEFB114	6	49960249	49964105
DEFB113	6	49968677	49969625
DEFB110	6	50009138	50021981
DEFB112	6	50043575	50048651
TFAP2D	6	50713828	50772988
TFAP2B	6	50818723	50847613
PKHD1	6	51615300	52087625
IL17A	6	52186387	52190638
IL17F	6	52236681	52244537
MCM3	6	52264009	52284881
PAQR8	6	52361421	52407777
EFHC1	6	52420308	52495785
TRAM2	6	52497402	52576915
TMEM14A	6	52671109	52686588
GSTA2	6	52750089	52763569
GSTA1	6	52791664	52803910
GSTA5	6	52831655	52870329
GSTA3	6	52847910	52909685
GSTA4	6	52977948	52995378
ICK	6	53001279	53061802
FBXO9	6	53051991	53100873
GCM1	6	53126964	53148829
ELOVL5	6	53267398	53349179
GCLC	6	53497341	53616970
KLHL31	6	53647901	53665708
LRRC1	6	53794497	53924121
MLIP	6	53929982	54266280
TINAG	6	54307859	54390152
FAM83B	6	54846771	54942022
HCRTR2	6	55106460	55282620
GFRAL	6	55327469	55402493
HMGCLL1	6	55434369	55579214
BMP5	6	55753645	55875564
COL21A1	6	56056590	56394094
DST	6	56457987	56954628
BEND6	6	56955126	57027342
KIAA1586	6	57046532	57055239
ZNF451	6	57086844	57170307
BAG2	6	57172326	57189833
RAB23	6	57186992	57222314
PRIM2	6	57314805	57646849
AL356135.1	6	61585946	61587035
KHDRBS2	6	61679960	62286227
FKBP1C	6	63211446	63213024
LGSN	6	63275951	63319977
PTP4A1	6	63521761	63583587
PHF3	6	63635820	63779336
EYS	6	63719980	65707225
ADGRB3	6	68635367	69389511
LMBRD1	6	69675802	69797111
COL19A1	6	69866571	70209976
COL9A1	6	70215061	70303083
FAM135A	6	70412941	70561174
SDHAF4	6	70566917	70589569
SMAP1	6	70667776	70862015
B3GAT2	6	70856679	70957038
OGFRL1	6	71288803	71308950
RIMS1	6	71886703	72403143
KCNQ5	6	72621792	73198851
RP11-257K9.8	6	73209746	73263196
KHDC1L	6	73223544	73225770
KHDC1	6	73241314	73310365
DPPA5	6	73353062	73354295
KHDC3L	6	73362677	73364171
OOEP	6	73368555	73395133
DDX43	6	73394748	73417569
MB21D1	6	73413515	73452276
MTO1	6	73461578	73509236
EEF1A1	6	73515750	73523797
SLC17A5	6	73593379	73654155
CD109	6	73695785	73828316
COL12A1	6	75084326	75206051
COX7A2	6	75237675	75250323
TMEM30A	6	75252924	75284968
FILIP1	6	75291859	75493738
SENP6	6	75601509	75718278
MYO6	6	75749192	75919537
IMPG1	6	75921115	76072678
HTR1B	6	77462205	77463464
MEI4	6	77690658	77926974
IRAK1BP1	6	78867472	78946440
PHIP	6	78935867	79078236
HMGN3	6	79201245	79234738
LCA5	6	79484991	79537458
SH3BGRL2	6	79631283	79703659
ELOVL4	6	79914812	79947580
AL133475.1	6	80001402	80001907
TTK	6	80003887	80042527
BCKDHB	6	80106647	80346270
FAM46A	6	81491439	81752774
IBTK	6	82169983	82247754
TPBG	6	82363206	82370828
UBE3D	6	82892398	83065841
DOPEY1	6	83067666	83171350
AL139333.1	6	83072973	83073135
PGM3	6	83161150	83193936
RWDD2A	6	83193379	83198932
ME1	6	83210389	83431071
PRSS35	6	83512538	83525704
SNAP91	6	83552880	83709691
RIPPLY2	6	83853266	83857515
CYB5R4	6	83859643	83967424
MRAP2	6	84033756	84090881
CEP162	6	84124241	84227635
TBX18	6	84687351	84764519
NT5E	6	85449584	85495791
SNX14	6	85505496	85594156
RP11-321N4.5	6	85557978	85615234
SYNCRIP	6	85607785	85643792
HTR1E	6	86937306	87016683
CGA	6	87085498	87095406
ZNF292	6	87152833	87264196
GJB7	6	87282978	87329278
SMIM8	6	87322583	87399749
C6orf163	6	87344849	87365463
CFAP206	6	87407983	87464465
RP3-382I10.7	6	87408012	87511634
SLC35A1	6	87470623	87512336
RARS2	6	87514378	87590003
ORC3	6	87590067	87667453
AKIRIN2	6	87675072	87702209
SPACA1	6	88047789	88066832
CNR1	6	88139864	88166359
RNGTT	6	88610272	88963721
PNRC1	6	89080751	89085160
SRSF12	6	89095959	89118081
PM20D2	6	89146050	89165565
GABRR1	6	89177501	89231278
GABRR2	6	89257208	89315299
UBE2J1	6	89326625	89352848
RRAGD	6	89364636	89412270
ANKRD6	6	89433170	89633834
LYRM2	6	89568144	89638753
MDN1	6	89642499	89819723
CASP8AP2	6	89829894	89874436
GJA10	6	89894469	89896120
BACH2	6	89926529	90296908
MAP3K7	6	90513573	90587045
EPHA7	6	93240020	93419547
MANEA	6	95577543	95609457
FUT9	6	96015984	96215612
UFL1	6	96521595	96555276
FHL5	6	96562548	96616636
GPR63	6	96794126	96837463
NDUFAF4	6	96889313	96897881
KLHL32	6	96924620	97140754
MMS22L	6	97142161	97283217
POU3F2	6	98834592	98839490
FBXL4	6	98868538	98948006
FAXC	6	99271169	99350062
COQ3	6	99369400	99394204
PNISR	6	99398051	99425331
USP45	6	99432379	99521728
CCNC	6	99542380	99568973
PRDM13	6	99606730	99615578
MCHR2	6	99919910	99994247
SIM1	6	100385015	100464929
ASCC3	6	100508194	100881372
GRIK2	6	101398788	102070083
HACE1	6	104728093	104859919
LIN28B	6	104957048	105083332
BVES	6	105096822	105137174
POPDC3	6	105158280	105179995
PREP	6	105277565	105403084
PRDM1	6	106086320	106109939
ATG5	6	106184476	106325820
AIM1	6	106360808	106571978
RTN4IP1	6	106571971	106629487
QRSL1	6	106629578	106668417
CD24	6	106969831	106975627
C6orf203	6	107028213	107051342
BEND3	6	107065182	107115269
PDSS2	6	107152557	107459564
SOBP	6	107489958	107660167
SCML4	6	107704104	107824317
SEC63	6	107867756	107958189
OSTM1	6	108041409	108165854
NR2E1	6	108166058	108188809
SNX3	6	108211222	108261260
LACE1	6	108294894	108526796
FOXO3	6	108559835	108684774
ARMC2	6	108848416	108974472
SESN1	6	108986437	109094819
CEP57L1	6	109095110	109163932
CD164	6	109366514	109382559
PPIL6	6	109390215	109441171
SMPD2	6	109440763	109443919
MICAL1	6	109444062	109465968
ZBTB24	6	109462594	109483237
AK9	6	109492856	109691217
FIG4	6	109691312	109825428
GPR6	6	109978256	109980718
WASF1	6	110099819	110180004
CDC40	6	110180141	110254275
METTL24	6	110245928	110358272
DDO	6	110391771	110415562
SLC22A16	6	110424687	110476641
CDK19	6	110609978	110815958
AMD1	6	110814621	110895713
GTF3C6	6	110958560	110967890
RPF2	6	110982015	111028263
SLC16A10	6	111087503	111231194
KIAA1919	6	111259348	111271167
REV3L	6	111299028	111483715
TRAF3IP2	6	111556454	111606278
FYN	6	111660332	111873452
WISP3	6	112054072	112070969
TUBE1	6	112070777	112087529
FAM229B	6	112087599	112102790
LAMA4	6	112108760	112254939
RP11-506B6.7	6	112236806	112350094
RFPL4B	6	112347330	112351296
MARCKS	6	113857362	113863471
HDAC2	6	113933028	114011308
HS3ST5	6	114055586	114343045
FRK	6	115931149	116060758
NT5DC1	6	116100849	116249497
COL10A1	6	116118923	116158747
TSPYL4	6	116249961	116254140
DSE	6	116254173	116444860
TSPYL1	6	116276578	116279903
FAM26F	6	116461370	116463779
TRAPPC3L	6	116494989	116545610
FAM26E	6	116511646	116524792
FAM26D	6	116529013	116558868
RWDD1	6	116571367	116597675
RSPH4A	6	116616479	116632985
ZUFSP	6	116635618	116668794
KPNA5	6	116681187	116741866
FAM162B	6	116752197	116765723
GPRC6A	6	116792085	116829037
RFX6	6	116877212	116932163
VGLL2	6	117265558	117273565
ROS1	6	117288300	117425855
RP1-179P9.3	6	117318211	117573571
DCBLD1	6	117453817	117569858
GOPC	6	117560269	117602542
NUS1	6	117675502	117710640
SLC35F1	6	117907526	118317676
CEP85L	6	118460772	118710075
PLN	6	118548298	118560730
MCM9	6	118813442	118935162
ASF1A	6	118894220	118909167
FAM184A	6	118959763	119149387
MAN1A1	6	119177209	119349761
TBC1D32	6	121079494	121334745
GJA1	6	121435692	121449727
HSF2	6	122399546	122433119
SERINC1	6	122443354	122471822
PKIB	6	122471917	122726373
FABP7	6	122779475	122784074
SMPDL3A	6	122789049	122809720
CLVS2	6	122995971	123072927
TRDN	6	123216339	123637093
NKAIN2	6	123804141	124825657
RNF217	6	124962545	125092633
TPD52L1	6	125119049	125264407
HDDC2	6	125219962	125302078
HEY2	6	125747664	125761269
NCOA7	6	125781161	125932030
HINT3	6	125956781	125980244
TRMT11	6	125986430	126039276
CENPW	6	126340174	126348875
RSPO3	6	127118604	127197765
RNF146	6	127266610	127288567
ECHDC1	6	127288710	127343609
RP3-403A15.5	6	127438406	127519001
KIAA0408	6	127440343	127459391
SOGA3	6	127472794	127519191
C6orf58	6	127519455	127591817
THEMIS	6	127708072	127918631
PTPRK	6	127968779	128520674
LAMA2	6	128883141	129516569
ARHGAP18	6	129576132	129710225
TMEM244	6	129831244	129861547
L3MBTL3	6	130013699	130141451
SAMD3	6	130144315	130365425
TMEM200A	6	130365734	130443063
SMLR1	6	130827406	130837135
EPB41L2	6	130839347	131063322
AKAP7	6	131135666	131283535
ARG1	6	131573144	131584332
MED23	6	131573966	131628229
ENPP3	6	131628442	131747418
OR2A4	6	131700469	131701401
CTAGE9	6	131708684	131711017
ENPP1	6	131808016	131895155
CTGF	6	131948176	131951373
MOXD1	6	132296055	132401545
STX7	6	132445867	132513198
TAAR9	6	132538290	132539336
TAAR8	6	132552693	132553721
TAAR6	6	132570322	132571359
TAAR5	6	132588673	132589686
TAAR2	6	132617022	132624275
TAAR1	6	132644984	132646003
VNN1	6	132681590	132714049
VNN3	6	132722787	132734765
VNN2	6	132743870	132763459
SLC18B1	6	132769370	132798553
RPS12	6	132814441	132817564
EYA4	6	133240598	133532120
TCF21	6	133889138	133895553
TBPL1	6	133952170	133990432
SLC2A12	6	133988697	134052636
SGK1	6	134169246	134318112
ALDH8A1	6	134917390	134950122
HBS1L	6	134960378	135103056
MYB	6	135181315	135219173
AHI1	6	135283532	135497776
PDE7B	6	135851696	136195574
MTFR2	6	136231024	136250335
BCLAF1	6	136256863	136289851
MAP7	6	136342281	136550819
MAP3K5	6	136557047	136792518
PEX7	6	136822564	136913937
SLC35D3	6	136922264	136925639
IL20RA	6	136999971	137045180
IL22RA2	6	137143820	137173648
IFNGR1	6	137197484	137219449
OLIG3	6	137492202	137494250
TNFAIP3	6	137867188	137883312
PERP	6	138088505	138107511
ARFGEF3	6	138161921	138344663
PBOV1	6	138215986	138218491
HEBP2	6	138403531	138422197
NHSL1	6	138422043	138692571
GVQW2	6	138725211	138773652
CCDC28A	6	138773509	138793319
ECT2L	6	138795926	138904070
REPS1	6	138903493	138988261
ABRACL	6	139028682	139043302
HECA	6	139135112	139180802
TXLNB	6	139240061	139292139
CITED2	6	139371807	139374620
NMBR	6	142058330	142088799
GJE1	6	142133090	142135151
VTA1	6	142147162	142224689
ADGRG6	6	142301854	142446266
HIVEP2	6	142751467	142945201
AIG1	6	143060496	143340304
ADAT2	6	143422832	143450673
PEX3	6	143450807	143490010
FUCA2	6	143494811	143511690
PHACTR2	6	143536845	143831185
RP3-468K18.5	6	143807092	143844617
LTV1	6	143843344	143863812
RP3-468K18.7	6	143857318	143938471
ZC2HC1B	6	143864436	143938356
PLAGL1	6	143940300	144064599
SF3B5	6	144094881	144095573
STX11	6	144150526	144188370
